Категория,Название,Полное название,Ссылка
Гомеопатические,Эдас-131,Эдас-131 ринитол капли назальные гомеопатические 15мл флакон-капельница,https://аптека-омск.рф/lek/rinitol-edas-131-kapli-nazalnye-gomeopaticheskie-flakon-kapelnica-15-ml
Гомеопатические,Эдас,Эдас-920 веномил гранулы гомеопатические 20г,https://аптека-омск.рф/lek/edas-920-venomil-200-granuly-gomeopat
Гомеопатические,Глицером,Глицером суппозитории ректальные гомеопатические №6 акция (цена действительна при заказе 3-х упаковок),https://аптека-омск.рф/lek/glicerom-n6-supp-rekt-gomeopat-akciya-21
Гомеопатические,Эдас,Эдас-124 дефекол капли 25мл,https://аптека-омск.рф/lek/edas-124-defekol-25ml-flak-kapli
Гомеопатические,Эдас,Эдас-103 бриакон капли для приема внутрь гомеопатические 25мл флакон-капельница,https://аптека-омск.рф/lek/edas-103-briakon-kapli-dpr-vnutr-gomeop-25ml-fl-kap-iu
Гомеопатические,Сабаль-простата,Сабаль-простата гомеопатические гранулы 20г,https://аптека-омск.рф/lek/sabal-prostata-200-n1-banka-polipropil-granuly-gomeopat
Гомеопатические,Эхинацея,"Эхинацея-плюс 20,0гранулы гомеопат",https://аптека-омск.рф/lek/ekhinaceya-plyus-200-granuly-gomeopat
Гомеопатические,Эдас-925,Эдас-925 тонзиллин гранулы гомеопатические 20г,https://аптека-омск.рф/lek/tonzillin-edas-925-gran-gomeopat-banka-20g
Гомеопатические,Эдас-112,Эдас-112 диаб капли для приема внутрь гомеопатические 25мл,https://аптека-омск.рф/lek/diab-edas-112-kapli-dpriema-vnutr-gomeopat-fl-25ml
Гомеопатические,Туя масло,Эдас-801 туя масло гомеопатическое 15мл флакон-капельница,https://аптека-омск.рф/lek/tuya-edas-801-maslo-gomeopat-fl-kap-15ml
Гомеопатические,Эдас,Эдас-308 анабар сироп гомеопатический 100мл,https://аптека-омск.рф/lek/edas-308-anabar-100ml-flak-sirop-gomeopaticheskiy
Гомеопатические,Эдас-101,Эдас-101 феминус капли для приема внутрь гомеопатические 25мл,https://аптека-омск.рф/lek/feminus-edas-101-kapli-dpriema-vnutr-gomeopaticheskie-fl25ml
Гомеопатические,Эдас,Эдас-203 арнес мазь гомеопатическая 25 г,https://аптека-омск.рф/lek/edas-203-arnes-250-maz-gomeopat
Гомеопатические,Эдас-202,Эдас-202 санодерм мазь гомеопатическая для наружного применения 25 г,https://аптека-омск.рф/lek/sanoderm-edas-202-maz-dnaruzh-prim-gomeopaticheskaya-banka-25g
Гомеопатические,Эдас-306,Эдас-306 пассамбра сироп гомеопатический 100мл,https://аптека-омск.рф/lek/passambra-edas-306-sirop-gomeopaticheskiy-fl-100ml
Гомеопатические,Эдас-937,Эдас-937 вискумел гранулы гомеопатические 20г,https://аптека-омск.рф/lek/viskumel-edas-937-gran-gomeopat-banka-20g
Гомеопатические,Эдас,Эдас-907 алипид гранулы гомеопатические 20г,https://аптека-омск.рф/lek/edas-907-alipid-200-granuly-gomeopat
Контрацептивы,Фарматекс,Фарматекс капсулы вагинальные №6,https://аптека-омск.рф/lek/farmateks-kapsuly-vaginalnye-no6
Контрацептивы,Фарматекс,Фарматекс крем вагинальный с дозатором 72г,https://аптека-омск.рф/lek/farmateks-krem-vaginalnyy-s-dozatorom-72g
Контрацептивы,Ноноксинол,Ноноксинол суппозитории. вагин. 120мг №10,https://аптека-омск.рф/lek/nonoksinol-supp-vagin-120mg-no10
Контрацептивы,Фарматекс вагинальные,Фарматекс суппозиторииозитории вагинальные №10,https://аптека-омск.рф/lek/farmateks-svechi-vaginalnye-no10
Контрацептивы,Евра,"Евра пластырь трансдермальный 203мкг+33,9мкг/24ч №3",https://аптека-омск.рф/lek/plastyr-0
Контрацептивы,Евра,"Евра пластырь трансдермальный 203мкг+33,9мкг/24ч №3",https://аптека-омск.рф/lek/evra-tts-203mkg339mkg24ch-no3-plastyr-kontraceptiv
Лечение сахарного диабета,Метформин Канон,Метформин Канон таблетки покрытые пленочной оболочкой 850мг №30,https://аптека-омск.рф/lek/metformin-kanon-tabletki-pokrytye-plenochnoy-obolochkoy-850-mg-no30
Лечение сахарного диабета,Мерифатин,Мерифатин таблетки покрытые плёночной оболочкой 500мг №60 (спец упаковка),https://аптека-омск.рф/lek/merifatin-tabletki-ppo-500-mg-no60spec-upakovka
Лечение сахарного диабета,Метформин Канон,Метформин Канон таблетки покрытые пленочной оболочкой 1000мг №30,https://аптека-омск.рф/lek/metformin-kanon-tabletki-pokrytye-plenochnoy-obolochkoy-1000-mg-no30
Лечение сахарного диабета,Метформин Канон,Метформин Канон таблетки покрытые пленочной оболочкой 500мг №60,https://аптека-омск.рф/lek/metformin-kanon-tabletki-pokrytye-plenochnoy-obolochkoy-500-mg-no60
Лечение сахарного диабета,Метформин,Метформин таблетки 1000мг №30,https://аптека-омск.рф/lek/metformin-tab-1000-mg-no30
Лечение сахарного диабета,Форметин,Форметин таблетки 500мг №30,https://аптека-омск.рф/lek/formetin-tabletki-500mg-no30-0
Лечение сахарного диабета,Метформин Канон,Метформин Канон таблетки покрытые пленочной оболочкой 500мг №60,https://аптека-омск.рф/lek/metformin-kanon-tabletki-pokrytye-plenochnoy-obolochkoy-500-mg-no60-0
Лечение сахарного диабета,Сиофор,Сиофор 500 таблетки покрытые пленочной оболочкой 500мг №60,https://аптека-омск.рф/lek/siofor-500-tabletki-pokrytye-plenochnoy-obolochkoy-500mg-no60
Лечение сахарного диабета,Глимепирид,Глимепирид СЗ таблетки 2мг №30,https://аптека-омск.рф/lek/glimepirid-sz-tabletki-2mg-no30
Лечение сахарного диабета,Метформин Канон,Метформин Канон таблетки покрытые пленочной оболочкой 500мг №60,https://аптека-омск.рф/lek/metformin-kanon-05-n60-tabl-pplenobolochblister
Лечение сахарного диабета,Гликлазид,Гликлазид СЗ таблетки с пролонгированного действияир. высвобождением 60мг №30,https://аптека-омск.рф/lek/gliklazid-sz-tabletki-s-prolongir-vysvobozhdeniem-60mg-no30
Лечение сахарного диабета,Манинил,"Манинил -1,75 таблетки 1.75мг №120",https://аптека-омск.рф/lek/maninil-175-tabletki-175-mg-no120
